Niki Jackson,25,Colorado Rapids,Forward,"Scottsdale, AZ",9
Anthony Jackson-Hamel,27,Montreal Impact,Forward,"Scottsdale, AZ",11
Adam Jahn,29,Atlanta United FC,Forward,"El Macero, CA",13
Dejan Jakovic,35,Los Angeles Football Club,Defender,"El Macero, CA",19
Robin Jansson,29,Orlando City SC,Defender,"Trollhattan, Sweden, International",13
Franco Jara,32,FC Dallas,Forward,"Cordoba, Argentina, International",16
Andres Jasson,18,New York City FC,Forward,"Greenwich, CT",2
David Jensen,28,New York Red Bulls,Goalkeeper,"Hillerød, Denmark, International",12
Hector Jimenez,32,Columbus Crew SC,Midfielder,"Hillerød, Denmark, International",16
Sean Johnson,31,New York City FC,Goalkeeper,"Lilburn, GA",15
Alistair Johnston,22,Nashville SC,Midfielder,"Aurora, ON",6
Derrick Jones,23,Nashville SC,Midfielder,"Philadelphia, PA",7
Alvin Jones,26,Real Salt Lake,Defender,"Port of Spain, Trinidad and Tobago, International",10
Joevin Jones,29,Seattle Sounders FC,Midfielder,"Carenage, Trinidad & Tobago, International",13
DeJuan Jones,23,New England Revolution,Midfielder,"Lansing, MI",7
Mathias Jorgensen,20,New York Red Bulls,Forward,"Hundested, Denmark, International",4
Florian Jungwirth,31,San Jose Earthquakes,Defender,"Grafelfing, Germany, International",15
Sam Junqua,24,Houston Dynamo FC,Defender,"Saratoga, CA",8
Brent Kallman,30,Minnesota United FC,Defender,"Omaha, NE",14
Ola Kamara,31,D.C. United,Forward,"Oslo, Norway, International",15
Kei Kamara,36,Minnesota United FC,Forward,"Kenema, Sierra Leone, International",20
Alec Kann,30,Atlanta United FC,Goalkeeper,"Kenema, Sierra Leone, International",14
Johan Kappelhof,30,Chicago Fire FC,Defender,"Amsterdam, Netherlands, International",14
Guram Kashia,33,San Jose Earthquakes,Defender,"Tblisi, GA",17
Mark-Anthony Kaye,26,Los Angeles Football Club,Midfielder,"Tblisi, GA",10
Aboubacar Keita,20,Columbus Crew SC,Defender,"Columbus, OH",4
Jeremy Kelly,23,Colorado Rapids,Defender,"Chapel Hill, NC",7
Jon Kempin,27,Columbus Crew SC,Goalkeeper,"Chapel Hill, NC",11
Henry Kessler,22,New England Revolution,Defender,"New York, NY",6
Jasser Khmiri,23,Vancouver Whitecaps FC,Defender,"Tunis, Tunisia, International",7
Jerome Kiesewetter,27,Inter Miami CF,Forward,"Tunis, Tunisia, International",11
Gadi Kinda,26,Sporting Kansas City,Midfielder,"Ashdod, Israel, International",10
Perry Kitchen,28,LA Galaxy,Midfielder,"Indianapolis, IN",12
Mustafa Kizza,21,Montreal Impact,Defender,"Indianapolis, IN",5
Jonathan Klinsmann,23,LA Galaxy,Goalkeeper,"Indianapolis, IN",7
Sacha Kljestan,35,LA Galaxy,Midfielder,"Huntington Beach, CA",19
Brad Knighton,35,New England Revolution,Goalkeeper,"Richmond, VA",19
Kai Koreniuk,22,LA Galaxy,Midfielder,"Daytona Beach, FL",6
Franko Kovacevic,21,FC Cincinnati,Forward,"Križevci, Croatia, International",5
Damir Kreilach,31,Real Salt Lake,Midfielder,"Vukovar, Croatia, International",15
Bojan Krkic,30,Montreal Impact,Midfielder,"Vukovar, Croatia, International",14
Kenneth Kronholm,35,Chicago Fire FC,Goalkeeper,"Vukovar, Croatia, International",19
Yuya Kubo,26,FC Cincinnati,Forward,"Yamaguchi, Japan, International",10
Lagos Kunga,22,Atlanta United FC,Forward,"Clarkson, GA",6
Matt LaGrassa,27,Nashville SC,Midfielder,"Elk Grove, CA",11
Matt Lampson,31,Columbus Crew SC,Goalkeeper,"Hilliard, OH",15
